time,temperature
1:31:40,23.908
1:31:41,23.908
1:31:42,23.908
1:31:43,23.908
1:31:44,23.908
1:31:45,23.907
1:31:46,23.907
1:31:47,23.907
1:31:48,23.907
1:31:49,23.907
1:31:50,23.907
1:31:51,23.908
1:31:52,23.91
1:31:53,23.911
1:31:54,23.918
1:31:55,23.919
1:31:56,23.92
1:31:57,23.928
1:31:58,23.932
1:31:59,23.934
1:32:00,23.931
1:32:01,23.929
1:32:02,23.934
1:32:03,23.941
1:32:04,23.948
1:32:05,23.967
1:32:06,23.975
1:32:07,23.978
1:32:08,24.003
1:32:09,24.026
1:32:10,24.038
1:32:11,24.044
1:32:12,24.064
1:32:13,24.095
1:32:14,24.136
1:32:15,24.162
1:32:16,24.213
1:32:17,24.227
1:32:18,24.247
1:32:19,24.287
1:32:20,24.294
1:32:21,24.318
1:32:22,24.35
1:32:23,24.384
1:32:24,24.411
1:32:25,24.405
1:32:26,24.423
1:32:27,24.483
1:32:28,24.5
1:32:29,24.538
1:32:30,24.566
1:32:31,24.574
1:32:32,24.617
1:32:33,24.637
1:32:34,24.649
1:32:35,24.665
1:32:36,24.668
1:32:37,24.698
1:32:38,24.744
1:32:39,24.781
1:32:40,24.793
1:32:41,24.804
1:32:42,24.811
1:32:43,24.841
1:32:44,24.866
1:32:45,24.864
1:32:46,24.883
1:32:47,24.924
1:32:48,24.931
1:32:49,24.934
1:32:50,24.947
1:32:51,24.949
1:32:52,24.97
1:32:53,24.972
1:32:54,24.977
1:32:55,25.02
1:32:56,25.035
1:32:57,25.051
1:32:58,25.063
1:32:59,25.066
1:33:00,25.082
1:33:01,25.13
1:33:02,25.153
1:33:03,25.169
1:33:04,25.173
1:33:05,25.173
1:33:06,25.188
1:33:07,25.198
1:33:08,25.222
1:33:09,25.234
1:33:10,25.243
1:33:11,25.255
1:33:12,25.258
1:33:13,25.261
1:33:14,25.264
1:33:15,25.264
1:33:16,25.27
1:33:17,25.311
1:33:18,25.323
1:33:19,25.336
1:33:20,25.348
1:33:21,25.35
1:33:22,25.356
1:33:23,25.361
1:33:24,25.369
1:33:25,25.377
1:33:26,25.38
1:33:27,25.398
1:33:28,25.408
1:33:29,25.412
1:33:30,25.432
1:33:31,25.435
1:33:32,25.443
1:33:33,25.456
1:33:34,25.466
1:33:35,25.472
1:33:36,25.482
1:33:37,25.485
1:33:38,25.486
1:33:39,25.506
1:33:40,25.514
1:33:41,25.528
1:33:42,25.54
1:33:43,25.541
1:33:44,25.543
1:33:45,25.548
1:33:46,25.551
1:33:47,25.56
1:33:48,25.568
1:33:49,25.576
1:33:50,25.585
1:33:51,25.585
1:33:52,25.59
1:33:53,25.591
1:33:54,25.594
1:33:55,25.603
1:33:56,25.613
1:33:57,25.617
1:33:58,25.616
1:33:59,25.623
1:34:00,25.624
1:34:01,25.626
1:34:02,25.63
1:34:03,25.646
1:34:04,25.658
1:34:05,25.663
1:34:06,25.672
1:34:07,25.676
1:34:08,25.677
1:34:09,25.682
1:34:10,25.69
1:34:11,25.693
1:34:12,25.693
1:34:13,25.693
1:34:14,25.696
1:34:15,25.705
1:34:16,25.709
1:34:17,25.713
1:34:18,25.714
1:34:19,25.716
1:34:20,25.72
1:34:21,25.728
1:34:22,25.737
1:34:23,25.744
1:34:24,25.746
1:34:25,25.751
1:34:26,25.753
1:34:27,25.755
1:34:28,25.756
1:34:29,25.761
1:34:30,25.764
1:34:31,25.768
1:34:32,25.772
1:34:33,25.772
1:34:34,25.776
1:34:35,25.781
1:34:36,25.781
1:34:37,25.782
1:34:38,25.784
1:34:39,25.789
1:34:40,25.792
1:34:41,25.791
1:34:42,25.794
1:34:43,25.798
1:34:44,25.799
1:34:45,25.804
1:34:46,25.805
1:34:47,25.807
1:34:48,25.814
1:34:49,25.816
1:34:50,25.819
1:34:51,25.818
1:34:52,25.818
1:34:53,25.82
1:34:54,25.825
