time,temperature
0:41:20,22.2
0:41:21,22.2
0:41:22,22.2
0:41:23,22.2
0:41:24,22.2
0:41:25,22.2
0:41:26,22.2
0:41:27,22.2
0:41:28,22.2
0:41:29,22.2
0:41:30,22.2
0:41:31,22.2
0:41:32,22.2
0:41:33,22.2
0:41:34,22.2
0:41:35,22.2
0:41:36,22.199
0:41:37,22.199
0:41:38,22.199
0:41:39,22.199
0:41:40,22.199
0:41:41,22.199
0:41:42,22.199
0:41:43,22.199
0:41:44,22.199
0:41:45,22.199
0:41:46,22.199
0:41:47,22.199
0:41:48,22.199
0:41:49,22.198
0:41:50,22.199
0:41:51,22.199
0:41:52,22.198
0:41:53,22.198
0:41:54,22.198
0:41:55,22.198
0:41:56,22.198
0:41:57,22.198
0:41:58,22.198
0:41:59,22.198
0:42:00,22.198
0:42:01,22.198
0:42:02,22.198
0:42:03,22.198
0:42:04,22.198
0:42:05,22.198
0:42:06,22.198
0:42:07,22.198
0:42:08,22.198
0:42:09,22.198
0:42:10,22.198
0:42:11,22.198
0:42:12,22.198
0:42:13,22.197
0:42:14,22.198
0:42:15,22.198
0:42:16,22.197
0:42:17,22.197
0:42:18,22.197
0:42:19,22.197
0:42:20,22.197
0:42:21,22.197
0:42:22,22.197
0:42:23,22.197
0:42:24,22.197
0:42:25,22.197
0:42:26,22.197
0:42:27,22.196
0:42:28,22.197
0:42:29,22.196
0:42:30,22.197
0:42:31,22.196
0:42:32,22.196
0:42:33,22.196
0:42:34,22.196
0:42:35,22.196
0:42:36,22.196
0:42:37,22.196
0:42:38,22.196
0:42:39,22.196
0:42:40,22.196
0:42:41,22.196
0:42:42,22.196
0:42:43,22.196
0:42:44,22.196
0:42:45,22.196
0:42:46,22.196
0:42:47,22.196
0:42:48,22.195
0:42:49,22.195
0:42:50,22.195
0:42:51,22.195
0:42:52,22.195
0:42:53,22.195
0:42:54,22.195
0:42:55,22.195
0:42:56,22.195
0:42:57,22.195
0:42:58,22.195
0:42:59,22.195
0:43:00,22.195
0:43:01,22.195
0:43:02,22.195
0:43:03,22.194
0:43:04,22.195
0:43:05,22.194
0:43:06,22.195
0:43:07,22.194
0:43:08,22.194
0:43:09,22.194
0:43:10,22.194
0:43:11,22.194
0:43:12,22.194
0:43:13,22.194
0:43:14,22.194
0:43:15,22.194
0:43:16,22.194
0:43:17,22.194
0:43:18,22.194
0:43:19,22.194
0:43:20,22.194
0:43:21,22.194
0:43:22,22.194
0:43:23,22.194
0:43:24,22.193
0:43:25,22.194
0:43:26,22.193
0:43:27,22.193
0:43:28,22.193
0:43:29,22.193
0:43:30,22.193
0:43:31,22.193
0:43:32,22.193
0:43:33,22.193
0:43:34,22.193
0:43:35,22.193
0:43:36,22.193
0:43:37,22.193
0:43:38,22.193
0:43:39,22.193
0:43:40,22.193
0:43:41,22.193
0:43:42,22.193
0:43:43,22.205
0:43:44,22.203
0:43:45,22.202
0:43:46,22.202
0:43:47,22.202
0:43:48,22.205
0:43:49,22.213
0:43:50,22.225
0:43:51,22.228
0:43:52,22.247
0:43:53,22.254
0:43:54,22.259
0:43:55,22.267
0:43:56,22.266
0:43:57,22.29
0:43:58,22.321
0:43:59,22.325
0:44:00,22.334
0:44:01,22.418
0:44:02,22.44
0:44:03,22.468
0:44:04,22.506
0:44:05,22.536
0:44:06,22.551
0:44:07,22.558
0:44:08,22.552
0:44:09,22.577
0:44:10,22.584
0:44:11,22.641
0:44:12,22.637
0:44:13,22.643
0:44:14,22.716
0:44:15,22.803
0:44:16,22.879
0:44:17,22.945
0:44:18,22.956
0:44:19,22.939
0:44:20,22.943
0:44:21,22.944
0:44:22,22.982
0:44:23,23.019
0:44:24,23.041
0:44:25,23.087
0:44:26,23.153
0:44:27,23.19
0:44:28,23.214
0:44:29,23.219
0:44:30,23.217
0:44:31,23.249
0:44:32,23.259
0:44:33,23.29
0:44:34,23.309
0:44:35,23.326
0:44:36,23.326
0:44:37,23.327
0:44:38,23.365
0:44:39,23.403
0:44:40,23.408
0:44:41,23.425
0:44:42,23.51
0:44:43,23.53
0:44:44,23.549
0:44:45,23.55
0:44:46,23.56
0:44:47,23.584
0:44:48,23.604
0:44:49,23.606
0:44:50,23.634
0:44:51,23.642
0:44:52,23.678
0:44:53,23.716
0:44:54,23.731
0:44:55,23.739
0:44:56,23.752
0:44:57,23.763
0:44:58,23.774
0:44:59,23.772
0:45:00,23.78
0:45:01,23.805
0:45:02,23.82
0:45:03,23.835
0:45:04,23.857
0:45:05,23.854
0:45:06,23.865
0:45:07,23.903
0:45:08,23.926
0:45:09,23.946
0:45:10,23.964
0:45:11,23.969
0:45:12,23.96
0:45:13,23.972
0:45:14,24.01
0:45:15,24.027
0:45:16,24.032
0:45:17,24.058
0:45:18,24.074
0:45:19,24.075
0:45:20,24.08
0:45:21,24.099
0:45:22,24.101
0:45:23,24.107
0:45:24,24.119
0:45:25,24.129
0:45:26,24.149
0:45:27,24.154
0:45:28,24.162
0:45:29,24.169
0:45:30,24.169
0:45:31,24.184
0:45:32,24.198
0:45:33,24.205
0:45:34,24.22
0:45:35,24.226
0:45:36,24.232
0:45:37,24.237
0:45:38,24.239
0:45:39,24.258
0:45:40,24.267
0:45:41,24.269
0:45:42,24.273
0:45:43,24.278
0:45:44,24.286
0:45:45,24.292
0:45:46,24.297
0:45:47,24.298
0:45:48,24.308
0:45:49,24.317
0:45:50,24.331
0:45:51,24.331
0:45:52,24.331
0:45:53,24.335
0:45:54,24.346
0:45:55,24.347
0:45:56,24.35
0:45:57,24.358
0:45:58,24.368
0:45:59,24.37
0:46:00,24.37
0:46:01,24.375
0:46:02,24.391
0:46:03,24.394
0:46:04,24.404
0:46:05,24.407
0:46:06,24.41
0:46:07,24.417
0:46:08,24.429
0:46:09,24.433
0:46:10,24.439
0:46:11,24.439
0:46:12,24.442
0:46:13,24.446
0:46:14,24.446
0:46:15,24.45
0:46:16,24.464
0:46:17,24.467
0:46:18,24.472
0:46:19,24.475
0:46:20,24.476
0:46:21,24.479
0:46:22,24.489
0:46:23,24.489
0:46:24,24.488
0:46:25,24.489
0:46:26,24.498
0:46:27,24.51
0:46:28,24.514
0:46:29,24.521
0:46:30,24.523
0:46:31,24.524
0:46:32,24.525
0:46:33,24.528
0:46:34,24.53
0:46:35,24.531
0:46:36,24.533
0:46:37,24.536
0:46:38,24.542
0:46:39,24.544
0:46:40,24.546
0:46:41,24.547
0:46:42,24.548
0:46:43,24.549
0:46:44,24.553
0:46:45,24.558
0:46:46,24.567
0:46:47,24.568
0:46:48,24.566
0:46:49,24.57
0:46:50,24.57
0:46:51,24.574
0:46:52,24.576
0:46:53,24.578
0:46:54,24.582
0:46:55,24.586
0:46:56,24.586
0:46:57,24.587
0:46:58,24.588
0:46:59,24.591
0:47:00,24.593
0:47:01,24.594
0:47:02,24.594
0:47:03,24.599
0:47:04,24.602
0:47:05,24.603
0:47:06,24.606
0:47:07,24.609
0:47:08,24.613
0:47:09,24.615
0:47:10,24.619
0:47:11,24.62
0:47:12,24.62
0:47:13,24.623
0:47:14,24.624
0:47:15,24.625
0:47:16,24.626
0:47:17,24.628
0:47:18,24.63
0:47:19,24.632
0:47:20,24.633
0:47:21,24.634
0:47:22,24.636
0:47:23,24.638
0:47:24,24.64
0:47:25,24.643
0:47:26,24.644
0:47:27,24.647
0:47:28,24.648
0:47:29,24.65
0:47:30,24.653
0:47:31,24.651
0:47:32,24.652
0:47:33,24.652
0:47:34,24.653
0:47:35,24.655
0:47:36,24.656
0:47:37,24.658
0:47:38,24.661
0:47:39,24.662
0:47:40,24.663
0:47:41,24.665
0:47:42,24.665
0:47:43,24.665
0:47:44,24.666
0:47:45,24.666
0:47:46,24.667
0:47:47,24.668
0:47:48,24.67
0:47:49,24.673
0:47:50,24.674
0:47:51,24.675
0:47:52,24.676
0:47:53,24.678
0:47:54,24.679
0:47:55,24.679
0:47:56,24.679
0:47:57,24.68
0:47:58,24.68
0:47:59,24.68
0:48:00,24.682
0:48:01,24.683
0:48:02,24.683
0:48:03,24.685
0:48:04,24.687
0:48:05,24.687
0:48:06,24.688
0:48:07,24.688
0:48:08,24.69
0:48:09,24.69
0:48:10,24.69
0:48:11,24.691
0:48:12,24.692
0:48:13,24.692
0:48:14,24.693
0:48:15,24.693
0:48:16,24.694
0:48:17,24.696
0:48:18,24.696
0:48:19,24.697
0:48:20,24.698
0:48:21,24.699
0:48:22,24.701
0:48:23,24.702
0:48:24,24.703
0:48:25,24.702
0:48:26,24.702
0:48:27,24.703
0:48:28,24.702
0:48:29,24.703
0:48:30,24.704
0:48:31,24.705
0:48:32,24.706
0:48:33,24.707
0:48:34,24.708
0:48:35,24.708
0:48:36,24.709
0:48:37,24.709
0:48:38,24.71
0:48:39,24.71
0:48:40,24.711
0:48:41,24.711
0:48:42,24.711
0:48:43,24.711
0:48:44,24.712
0:48:45,24.712
0:48:46,24.712
0:48:47,24.714
0:48:48,24.714
0:48:49,24.714
0:48:50,24.714
0:48:51,24.715
0:48:52,24.715
0:48:53,24.716
0:48:54,24.716
0:48:55,24.716
0:48:56,24.717
0:48:57,24.717
0:48:58,24.717
0:48:59,24.718
0:49:00,24.719
0:49:01,24.719
0:49:02,24.719
0:49:03,24.72
0:49:04,24.72
0:49:05,24.72
0:49:06,24.719
0:49:07,24.72
0:49:08,24.72
0:49:09,24.72
0:49:10,24.722
0:49:11,24.722
0:49:12,24.723
0:49:13,24.723
0:49:14,24.723
0:49:15,24.723
0:49:16,24.723
0:49:17,24.724
0:49:18,24.723
0:49:19,24.723
0:49:20,24.724
0:49:21,24.723
0:49:22,24.724
0:49:23,24.724
0:49:24,24.724
0:49:25,24.724
0:49:26,24.725
0:49:27,24.726
0:49:28,24.727
0:49:29,24.726
0:49:30,24.726
0:49:31,24.726
0:49:32,24.726
0:49:33,24.726
0:49:34,24.726
0:49:35,24.727
0:49:36,24.727
0:49:37,24.727
0:49:38,24.728
0:49:39,24.728
0:49:40,24.728
0:49:41,24.728
0:49:42,24.728
0:49:43,24.728
0:49:44,24.728
0:49:45,24.729
0:49:46,24.729
0:49:47,24.729
0:49:48,24.729
0:49:49,24.729
0:49:50,24.73
0:49:51,24.73
0:49:52,24.73
0:49:53,24.73
0:49:54,24.73
0:49:55,24.73
0:49:56,24.73
0:49:57,24.73
0:49:58,24.731
0:49:59,24.731
0:50:00,24.73
0:50:01,24.73
0:50:02,24.731
0:50:03,24.731
0:50:04,24.732
0:50:05,24.731
0:50:06,24.731
0:50:07,24.731
0:50:08,24.731
0:50:09,24.731
0:50:10,24.731
0:50:11,24.731
0:50:12,24.731
0:50:13,24.731
0:50:14,24.731
0:50:15,24.732
0:50:16,24.732
0:50:17,24.732
0:50:18,24.733
0:50:19,24.733
0:50:20,24.732
0:50:21,24.731
0:50:22,24.731
0:50:23,24.731
0:50:24,24.731
0:50:25,24.731
0:50:26,24.732
0:50:27,24.732
0:50:28,24.732
0:50:29,24.733
0:50:30,24.732
0:50:31,24.732
0:50:32,24.731
0:50:33,24.731
0:50:34,24.732
0:50:35,24.733
0:50:36,24.733
0:50:37,24.733
0:50:38,24.733
0:50:39,24.733
0:50:40,24.733
0:50:41,24.733
0:50:42,24.733
0:50:43,24.733
0:50:44,24.733
0:50:45,24.733
0:50:46,24.732
0:50:47,24.732
0:50:48,24.732
0:50:49,24.733
0:50:50,24.733
0:50:51,24.733
0:50:52,24.733
0:50:53,24.733
0:50:54,24.733
0:50:55,24.733
0:50:56,24.733
0:50:57,24.733
0:50:58,24.732
0:50:59,24.732
0:51:00,24.732
0:51:01,24.732
0:51:02,24.732
0:51:03,24.732
0:51:04,24.732
0:51:05,24.732
0:51:06,24.733
0:51:07,24.733
0:51:08,24.733
0:51:09,24.733
0:51:10,24.732
0:51:11,24.732
0:51:12,24.732
0:51:13,24.732
0:51:14,24.732
0:51:15,24.732
0:51:16,24.733
0:51:17,24.732
0:51:18,24.732
0:51:19,24.732
0:51:20,24.732
0:51:21,24.732
0:51:22,24.733
0:51:23,24.733
0:51:24,24.733
0:51:25,24.732
0:51:26,24.733
0:51:27,24.732
0:51:28,24.732
0:51:29,24.732
0:51:30,24.732
0:51:31,24.732
0:51:32,24.732
0:51:33,24.732
0:51:34,24.732
0:51:35,24.732
0:51:36,24.731
0:51:37,24.731
0:51:38,24.732
0:51:39,24.732
0:51:40,24.732
0:51:41,24.731
0:51:42,24.731
0:51:43,24.731
0:51:44,24.731
0:51:45,24.731
0:51:46,24.731
0:51:47,24.731
0:51:48,24.731
0:51:49,24.73
0:51:50,24.73
